Occurred_On,Occurred_On,Occurred_On,Run_Type,School_Year
2022,6,1,General Ed AM Run,35
2022,6,2,General Ed AM Run,37
2022,6,3,General Ed AM Run,28
2022,6,6,General Ed AM Run,36
2022,6,8,General Ed AM Run,36
2022,6,9,General Ed AM Run,1
2022,6,10,General Ed AM Run,30
2022,6,13,General Ed AM Run,23
2022,6,14,General Ed AM Run,35
2022,6,15,General Ed AM Run,19
2022,6,16,General Ed AM Run,54
2022,6,17,General Ed AM Run,12
2022,6,21,General Ed AM Run,24
2022,6,22,General Ed AM Run,26
2022,6,23,General Ed AM Run,11
2022,6,24,General Ed AM Run,12
2022,6,27,General Ed AM Run,22
2022,6,1,General Ed Field Trip,3
2022,6,2,General Ed Field Trip,3
2022,6,3,General Ed Field Trip,2
2022,6,6,General Ed Field Trip,1
2022,6,8,General Ed Field Trip,6
2022,6,10,General Ed Field Trip,8
2022,6,1,General Ed PM Run,13
2022,6,2,General Ed PM Run,17
2022,6,3,General Ed PM Run,10
2022,6,6,General Ed PM Run,5
2022,6,8,General Ed PM Run,21
2022,6,10,General Ed PM Run,25
2022,6,13,General Ed PM Run,8
2022,6,14,General Ed PM Run,10
2022,6,15,General Ed PM Run,7
2022,6,16,General Ed PM Run,6
2022,6,17,General Ed PM Run,6
2022,6,21,General Ed PM Run,3
2022,6,22,General Ed PM Run,4
2022,6,23,General Ed PM Run,5
2022,6,24,General Ed PM Run,7
2022,6,1,Pre-K/EI,33
2022,6,2,Pre-K/EI,46
2022,6,3,Pre-K/EI,27
2022,6,6,Pre-K/EI,35
2022,6,8,Pre-K/EI,45
2022,6,10,Pre-K/EI,41
2022,6,13,Pre-K/EI,48
2022,6,14,Pre-K/EI,51
2022,6,15,Pre-K/EI,34
2022,6,16,Pre-K/EI,62
2022,6,17,Pre-K/EI,54
2022,6,21,Pre-K/EI,46
2022,6,22,Pre-K/EI,34
2022,6,23,Pre-K/EI,35
2022,6,24,Pre-K/EI,27
2022,6,27,Pre-K/EI,26
2022,9,13,Pre-K/EI,61
2022,9,14,Pre-K/EI,34
2022,9,15,Pre-K/EI,41
2022,9,16,Pre-K/EI,37
2022,9,19,Pre-K/EI,33
2022,9,20,Pre-K/EI,55
2022,9,21,Pre-K/EI,68
2022,9,22,Pre-K/EI,55
2022,9,23,Pre-K/EI,47
2022,9,28,Pre-K/EI,68
2022,9,29,Pre-K/EI,56
2022,9,30,Pre-K/EI,54
2022,10,3,Pre-K/EI,64
2022,10,4,Pre-K/EI,64
2022,10,6,Pre-K/EI,79
2022,10,7,Pre-K/EI,69
2022,10,11,Pre-K/EI,45
2022,10,12,Pre-K/EI,75
2022,10,13,Pre-K/EI,60
2022,10,14,Pre-K/EI,56
2022,10,17,Pre-K/EI,42
2022,10,18,Pre-K/EI,50
2022,10,19,Pre-K/EI,65
2022,10,20,Pre-K/EI,57
2022,10,21,Pre-K/EI,72
2022,10,24,Pre-K/EI,60
2022,10,25,Pre-K/EI,66
2022,10,26,Pre-K/EI,52
2022,10,27,Pre-K/EI,61
2022,10,28,Pre-K/EI,56
2022,10,31,Pre-K/EI,53
2022,6,1,Special Ed AM Run,217
2022,6,2,Special Ed AM Run,238
2022,6,3,Special Ed AM Run,213
2022,6,6,Special Ed AM Run,232
2022,6,8,Special Ed AM Run,211
2022,6,10,Special Ed AM Run,219
2022,6,13,Special Ed AM Run,249
2022,6,14,Special Ed AM Run,202
2022,6,15,Special Ed AM Run,169
2022,6,16,Special Ed AM Run,211
2022,6,17,Special Ed AM Run,151
2022,6,21,Special Ed AM Run,137
2022,6,22,Special Ed AM Run,126
2022,6,23,Special Ed AM Run,91
2022,6,24,Special Ed AM Run,69
2022,6,27,Special Ed AM Run,98
2022,6,1,Special Ed Field Trip,5
2022,6,2,Special Ed Field Trip,2
2022,6,3,Special Ed Field Trip,6
2022,6,6,Special Ed Field Trip,2
2022,6,8,Special Ed Field Trip,7
2022,6,10,Special Ed Field Trip,8
2022,6,17,Special Ed Field Trip,1
2022,6,21,Special Ed Field Trip,1
2022,6,1,Special Ed PM Run,64
2022,6,2,Special Ed PM Run,72
2022,6,3,Special Ed PM Run,72
2022,6,6,Special Ed PM Run,49
2022,6,8,Special Ed PM Run,60
2022,6,10,Special Ed PM Run,79
2022,6,13,Special Ed PM Run,51
2022,6,14,Special Ed PM Run,48
2022,6,15,Special Ed PM Run,43
2022,6,16,Special Ed PM Run,33
2022,6,17,Special Ed PM Run,43
2022,6,21,Special Ed PM Run,28
2022,6,22,Special Ed PM Run,12
2022,6,23,Special Ed PM Run,9
2022,6,24,Special Ed PM Run,23
2022,6,27,Special Ed PM Run,12
