"School_Year","year","month_char","total_delays","total_trips","delay_per_of_total_trips"
"2018-2019",2019,"Jan",12527,328340,3.82
"2019-2020",2019,"Oct",13258,353892,3.75
"2019-2020",2019,"Nov",10715,287453,3.73
"2019-2020",2019,"Dec",9022,254265,3.55
"2018-2019",2019,"Feb",9700,229628,4.22
"2018-2019",2019,"Mar",12145,344862,3.52
"2018-2019",2019,"Apr",8714,262864,3.32
"2018-2019",2019,"May",12285,361460,3.4
"2018-2019",2019,"Jun",7083,213681,3.31
"2019-2020",2019,"Sep",9981,233198,4.28
"2019-2020",2020,"Jan",9550,340400,2.81
"2019-2020",2020,"Feb",7850,255765,3.07
"2019-2020",2020,"Mar",4428,170620,2.6
"2021-2022",2021,"Oct",10592,325060,3.26
"2021-2022",2021,"Nov",6946,244635,2.84
"2021-2022",2021,"Dec",5695,277610,2.05
"2021-2022",2021,"Sep",4191,112861,3.71
"2021-2022",2022,"Jan",6187,310156,1.99
"2021-2022",2022,"Feb",5942,228340,2.6
"2021-2022",2022,"Mar",7458,326000,2.29
"2021-2022",2022,"Apr",5798,244350,2.37
"2021-2022",2022,"May",8199,325540,2.52
"2021-2022",2022,"Jun",4825,244080,1.98
"2022-2023",2023,"Jan",9620,297464,3.23
"2022-2023",2023,"Feb",8136,234675,3.47
"2022-2023",2023,"Mar",10665,359812,2.96
"2022-2023",2023,"Apr",5618,188244,2.98
"2022-2023",2023,"May",10760,345180,3.12
"2022-2023",2023,"Jun",4734,235290,2.01
